model,sample_id,course,page,status,has_reference,reference_origin,cer,wer,reading_order_f1,math_symbol_f1,token_recall,token_precision,token_f1,char_lcs_recall,cost_usd,equation,table,multi_column,diagram
PaddlePaddle/PaddleOCR-VL-0.9B,comp244__9c5889e23e__p0833,comp244,833,ok,True,gold,1.0,1.0,0.16,0.33333333333333337,0.8035714285714286,0.06164383561643835,0.11450381679389313,0.8773006134969326,0.00088946,True,True,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp254__3c4371f7df__p0069,comp254,69,ok,True,gold,0.09326424870466321,0.144,0.7692307692307693,0.8372093023255813,0.856,0.9427312775330396,0.8972746331236897,0.917098445595855,0.0005778,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp254__3c4371f7df__p0130,comp254,130,ok,True,gold,0.02531645569620253,0.13636363636363635,0.3333333333333333,1.0,0.9318181818181818,0.8723404255319149,0.9010989010989012,0.9873417721518988,0.0004442,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp302__11288b4683__p0048,comp302,48,ok,True,gold,0.423728813559322,0.40540540540540543,0.7272727272727273,1.0,0.5945945945945946,1.0,0.7457627118644068,0.576271186440678,0.00051112,True,False,False,True
PaddlePaddle/PaddleOCR-VL-0.9B,comp302__11288b4683__p0053,comp302,53,ok,True,gold,0.3256880733944954,0.23529411764705882,0.35294117647058826,1.0,0.7647058823529411,1.0,0.8666666666666666,0.6743119266055045,0.00052072,True,False,False,True
PaddlePaddle/PaddleOCR-VL-0.9B,comp321__3832701964__p0057,comp321,57,ok,True,gold,0.01726844583987441,0.025487256371814093,0.14285714285714285,1.0,0.9910044977511244,0.9749262536873157,0.9828996282527881,0.998116169544741,0.00115592,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp321__3832701964__p0128,comp321,128,ok,True,gold,0.1966322650733297,0.19072164948453607,0.1935483870967742,1.0,0.9716494845360825,0.8587699316628702,0.9117291414752117,0.9891363389462249,0.00093352,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp335__87fc1c60ae__p0141,comp335,141,ok,True,gold,0.009009009009009009,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0004634,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp335__87fc1c60ae__p0157,comp335,157,ok,True,gold,0.3044719314938154,0.2946708463949843,0.5098039215686274,0.7812500000000001,0.8213166144200627,0.903448275862069,0.8604269293924467,0.8620361560418649,0.0006146,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp340__2b051e685d__p0109,comp340,109,ok,True,gold,0.25184145913714484,0.26578073089701,0.4,0.8571428571428571,0.792358803986711,0.9352941176470588,0.8579136690647483,0.7692037881445107,0.00095316,True,True,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp340__2b051e685d__p0155,comp340,155,ok,True,gold,0.14507772020725387,0.17583892617449665,0.6060606060606061,0.7560975609756097,0.8241610738255034,1.0,0.9036055923473142,0.8549222797927462,0.00096196,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp344__ae0689a4e4__p0054,comp344,54,ok,True,gold,0.5476772616136919,0.6398104265402843,0.07142857142857142,0.6666666666666666,0.4597156398104265,0.5987654320987654,0.520107238605898,0.511002444987775,0.00016798,True,True,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp344__ae0689a4e4__p0066,comp344,66,ok,True,gold,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00014318,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp354__1839bc7f78__p0038,comp354,38,ok,True,gold,0.0027100271002710027,0.03571428571428571,0.9090909090909091,1.0,0.9821428571428571,0.9649122807017544,0.9734513274336283,1.0,0.0004698,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp354__1839bc7f78__p0051,comp354,51,ok,True,gold,0.775,0.7666666666666667,0.26666666666666666,0.6666666666666666,0.25,0.8823529411764706,0.38961038961038963,0.22777777777777777,0.0004122,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp358__52cc8b772f__p0008,comp358,8,ok,True,gold,0.1036321226257914,0.1347068145800317,0.5357142857142857,0.8750000000000001,0.9873217115689382,0.8862019914651493,0.9340329835082459,0.9956681106297901,0.00102284,True,True,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp358__52cc8b772f__p0014,comp358,14,ok,True,gold,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00085164,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp370__b11f90804e__p0721,comp370,721,ok,True,gold,1.0,1.0,0.26666666666666666,0.6153846153846153,0.9878048780487805,0.17270788912579957,0.294010889292196,0.9648711943793911,0.00092204,True,True,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp370__b11f90804e__p0919,comp370,919,ok,True,gold,0.16774891774891776,0.1875,0.4222222222222222,0.8,0.8409090909090909,0.9833887043189369,0.9065849923430321,0.8414502164502164,0.00076284,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp401__331b0f02ab__p0035,comp401,35,ok,True,gold,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004698,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp401__331b0f02ab__p0044,comp401,44,ok,True,gold,0.10242587601078167,0.05,0.9285714285714286,1.0,0.95,1.0,0.9743589743589743,0.8975741239892183,0.0004634,True,True,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp405__486a56abec__p0058,comp405,58,ok,True,gold,0.19839679358717435,0.15060240963855423,0.3125,0.5,0.8493975903614458,0.9791666666666666,0.9096774193548387,0.8016032064128257,0.0004778,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp405__486a56abec__p0103,comp405,103,ok,True,gold,0.0364741641337386,0.09782608695652174,0.2,0.6666666666666666,0.9021739130434783,0.9325842696629213,0.9171270718232043,0.9635258358662614,0.0004618,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp417__a7be932118__p0202,comp417,202,ok,True,gold,1.0,1.0,0.2222222222222222,0.27272727272727276,0.9384615384615385,0.15211970074812967,0.26180257510729615,0.953125,0.00083432,True,False,False,False
